"Buurten";"Naam van de buurt";"Aantal 0 tem 17-jarigen";"Aantal 18 tem 64-jarigen";"Aantal 65-plussers";"Aantal 80 tem 89-jarigen";"Aantal 90+'ers";"Interne vergrijzing";"Bevolkingsdichtheid (inw/ha)";"Bevolkingsdichtheid woongebied"
"12MQ";"STABROEK";"";"";"";"";"";"";"";""
"A00-";"ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN )";202;1978;564;116;13;22,9;125;13876
"A01-";"KLAPDORP - BROUWERSVLIET";177;1290;260;34;9;16,5;126;12639
"A02-";"GROENPLAATS (SPAANSE WALLEN)";42;401;164;45;10;33,5;56;5682
"A03-";"HOOGSTRAAT (SPAANSE WALLEN)";67;792;183;43;6;26,8;115;11665
"A04-";"OUDAAN (SPAANSE WALLEN)";97;1399;208;43;7;24,0;116;12051
"A05-";"GEVANGENIS (SPAANSE WALLEN)";134;1129;283;79;54;47,0;114;11780
"A081";"SCHELDEKADEN NOORD";"";"";"";"";"";"";"";""
"A10-";"MEIR - LEYSSTRAAT (SP. WALLEN)";148;1486;323;76;".";24,8;75;7665
"A11-";"KIPDORP-ST.-JACOBS (SP.WALLEN)";303;1885;253;41;6;18,6;125;12671
"A12-";"K.N.S.-NAT. BANK (SP. WALLEN)";80;799;210;45;8;25,2;69;7506
"A13-";"STADSWAAG-BEGIJNHOF(SP.WALLEN)";186;1500;421;119;75;46,1;91;9814
"A14-";"TABAKSVEST (SPAANSE WALLEN)";112;709;240;54;15;28,8;121;12273
"A15-";"HESSENHUIS (SPAANSE WALLEN)";132;1354;176;28;".";16,5;101;10096
"A21-";"ST.-ANDRIES (SPAANSE WALLEN)";378;1915;585;151;19;29,1;163;16499
"A22-";"ST.-MICHIELSKAAI (SP. WALLEN)";156;1171;277;56;8;23,1;191;19106
"B701";"LINKEROEVER-ZUID (LINKEROEVER)";945;2091;1231;307;86;31,9;83;8316
"B71-";"LINKEROEVER - STATION";370;1166;432;98;31;29,9;52;6933
"B721";"LINKEROEVER-NOORD";1002;2106;1058;330;70;37,8;95;9494
"B73-";"ST.-ANNA (LINKEROEVER)";".";47;8;".";".";".";".";"."
"B742";"THOENETLAAN (LINKEROEVER)";447;1010;346;112;25;39,6;63;6299
"B752";"GLORIANTLAAN (LINKEROEVER)";14;101;80;28;".";38,8;7;1140
"B782";"GALGEWEEL (LINKEROEVER)";55;380;17;".";".";5,9;2;9744
"B791";"ST.-ANNABOS (LINKEROEVER )";29;122;206;63;58;58,7;1;3236
"B813";"BLANCEFLOERLAAN  (LINKEROEVER)";460;1991;995;237;82;32,1;47;8439
"B824";"CHARLES DE COSTERLAAN(L.OEVER)";326;499;102;7;".";8,8;7;2635
"C20-";"STATIEKWARTIER (STATIONSWIJK)";89;540;58;5;".";8,6;75;7508
"C21-";"ATHENEUM (STATIONSWIJK)";208;1566;226;38;9;20,8;171;17081
"C22-";"DE CONINCPLEIN-Z.(STATIONSW.)";335;1478;204;30;".";16,2;213;21291
"C23-";"OFFERANDESTRAAT(STATIONSWIJK )";758;2677;398;95;8;25,9;238;23816
"C24-";"PROVINCIESTRAAT(STATIONSWIJK )";795;2721;341;60;15;22,0;146;15365
"C25-";"PELIKAANSTRAAT (STATIONSWIJK )";1396;2541;291;43;7;17,2;170;18119
"C28-";"STATION - ZOO (STATIONSWIJK )";"";"";"";"";"";"";"";""
"C29-";"STADSPARK (STATIONSWIJK )";"";"";"";"";"";"";"";""
"C31-";"JEZUITENCOLLEGE(STATIONSWIJK )";258;892;284;71;29;35,2;127;12696
"C41-";"DAMBRUGGESTRAAT-N.(STATIONSW.)";629;2150;391;86;22;27,6;231;23995
"C42-";"DE ZAVEL (NOORDWIJK )";961;2547;398;70;8;19,6;299;29874
"C43-";"ST.-WILLEBRORDUS (NOORDWIJK )";515;1646;227;32;7;17,2;180;18006
"C44-";"POTGIETERSTRAAT (NOORDWIJK)";558;1351;174;29;".";18,4;233;23294
"C45-";"STUIVENBERG ZIEKENHUIS(NOORDW)";759;1829;221;50;5;24,9;144;14763
"C491";"SCHIJNPOORT (DAM-SCHIJNPOORT )";"";"";"";"";"";"";"";""
"D30-";"CHARLOTTALEI (OOSTWIJK)";1688;2809;363;80;10;24,8;268;27682
"D31-";"ASTRID BAD (OOSTWIJK)";1251;1801;257;36;9;17,5;200;20502
"D32-";"ST.-VINCENTIUS (OOSTWIJK)";1333;2880;434;80;33;26,0;178;17816
"D33-";"STADSPARK-ZUID (OOSTWIJK)";1035;2210;365;78;20;26,8;247;24668
"D34-";"DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK)";1251;4124;545;100;10;20,2;176;18630
"D35-";"VAN DIEPENBEECKSTR. (OOSTWIJK)";564;1003;144;21;6;18,8;153;16484
"D38-";"GAS (OOSTWIJK)";".";".";".";".";".";".";".";"."
"D41-";"STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK)";794;2395;554;103;43;26,4;114;15136
"D42-";"LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK)";767;1758;253;61;31;36,4;156;15630
"E122";"WAALSE KAAI (ZUIDWIJK)";145;833;248;53;16;27,8;132;13503
"E131";"VLAAMSE KAAI (ZUIDWIJK)";165;1236;191;39;5;23,0;146;14566
"E14-";"MUSEUMWIJK (ZUIDWIJK)";635;4751;672;132;19;22,5;147;15120
"E15-";"GERECHTSHOF (ZUIDWIJK)";146;1197;189;31;9;21,2;138;13773
"E19-";"OUDE SCHIPPERSDOKKEN(ZUIDWIJK)";"";"";"";"";"";"";"";""
"E50-";"BELL (ZUIDWIJK)";975;4254;867;174;71;28,3;154;15382
"E521";"LANGE ELZENSTRAAT (ZUIDWIJK)";605;2440;322;62;14;23,6;172;17607
"E53-";"TROONPLAATS (ZUIDWIJK)";345;1944;269;68;11;29,4;138;15347
"E551";"GERECHTSHOF (ZUIDWIJK)";304;1720;314;79;17;30,6;133;13322
"E5MJ";"SPAGHETTIKNOOP (KIEL)";208;1370;386;100;19;30,8;20;9569
"F11-";"ST.-CATHARINA (KIEL)";992;1993;347;77;12;25,6;138;14524
"F12-";"MAURITS SABBELAAN (KIEL)";990;1768;307;42;9;16,6;220;22627
"F21-";"KOLONIELAAN (CAM. HUYSMANSL.)";739;2769;691;179;53;33,6;105;10641
"F223";"VOLHARDINGSSTRAAT (KIEL)";166;428;216;44;6;23,1;165;23306
"F60-";"KIEL - CENTRUM (KIEL)";688;1207;196;48;7;28,1;122;12412
"F61-";"BOOMSE STWG-BEERSCHOT (KIEL)";1471;3064;413;90;20;26,6;237;23722
"F62-";"BEERSCHOT - STADION (KIEL)";611;1311;520;163;73;45,4;105;14343
"F64-";"JAN DE VOSLEI (KIEL)";657;1269;245;48;17;26,5;131;13463
"F65-";"PIUS X (KIEL)";609;1496;293;70;8;26,6;125;12833
"F6MJ";"PETROLEUM - SCHELDEKADEN-Z.";"";"";"";"";"";"";"";""
"F6NJ";"KIELSE POLDER (KIEL)";".";8;".";".";".";"-";".";"."
"G51-";"ST.-LAURENTIUS (ZUIDWIJK)";511;1961;404;105;39;35,6;109;10889
"G522";"FRANSEN PLAATS (ZUIDWIJK)";138;672;260;58;44;39,2;59;7894
"G53-";"HARMONIE (ZUIDWIJK)";603;2347;757;229;93;42,5;122;13655
"G54-";"KAREL OOMSTRAAT";320;1949;598;146;70;36,1;88;9998
"G552";"C. TEICHMANN PLAATS (ZUIDWIJK)";74;325;77;16;6;28,6;271;27146
"G59-";"ALBERTPARK (OOSTWIJK)";23;81;13;".";".";38,5;14;14484
"G72-";"WILRIJKSPL.-W. (WILRIJKSPLEIN)";178;668;163;33;10;26,4;136;13619
